name,mass,distance
G 9-40 b,11.7,27.9276
GJ 1002 b,1.08,4.84867
GJ 1002 c,1.36,4.84867
GJ 1061 b,1.37,3.67278
GJ 1061 c,1.74,3.67278
GJ 1061 d,1.64,3.67278
GJ 1132 b,1.66,12.613
GJ 1132 c,2.64,12.613
GJ 1148 b,96.7,11.0143
GJ 1148 c,68.06,11.0143
GJ 1151 c,10.62,8.03625
GJ 1214 b,8.17,14.6427
GJ 1252 b,1.32,20.373
GJ 1265 b,7.4,10.2525
GJ 143 b,22.7,16.32
GJ 15 A b,3.03,3.56228
GJ 15 A c,36,3.56228
GJ 160.2 b,10.2,25.8557
GJ 163 b,10.6,15.1285
GJ 163 c,6.8,15.1285
GJ 163 d,29.4,15.1285
GJ 179 b,260.61,12.356
GJ 180 b,6.49,11.9407
GJ 180 c,6.4,11.9407
GJ 180 d,7.56,11.9407
GJ 2030 b,4.59248,37.0788
GJ 2030 c,4067.84698,37.0788
GJ 2056 b,16.2,28.4434
GJ 229 A c,8.57613,5.75624
GJ 229 b,14.85045,5.75624
GJ 251 b,4,5.58057
GJ 27.1 b,13,23.6062
GJ 273 b,2.89,5.921535
GJ 273 c,1.18,5.921535
GJ 3021 b,1071.04,17.5559
GJ 3082 b,8.2,16.6186
GJ 3090 b,3.34,22.4751
GJ 3138 b,1.78,28.4712
GJ 3138 c,4.18,28.4712
GJ 3138 d,10.5,28.4712
GJ 317 b,794.5,15.1968
GJ 317 c,522.5,15.1968
GJ 3222 b,11.73969,18.23817
GJ 328 b,731,20.5266
GJ 3293 b,23.54,20.1903
GJ 3293 c,21.09,20.1903
GJ 3293 d,7.6,20.1903
GJ 3293 e,3.28,20.1903
GJ 3323 b,2.02,5.37484
GJ 3323 c,2.31,5.37484
GJ 3341 b,6.6,23.619
GJ 338 B b,10.6,6.33256
GJ 3470 b,13.9,29.4214
GJ 3473 b,1.86,27.3644
GJ 3473 c,7.41,27.3644
GJ 3512 b,146.20107,9.48637
GJ 3512 c,63.56568,9.48637
GJ 357 b,1.84,9.44181
GJ 357 c,3.4,9.44181
GJ 357 d,6.1,9.44181
GJ 3634 b,8.4,20.3779
GJ 367 b,0.546,9.41263
GJ 3779 b,8,13.743
GJ 3929 b,1.75,15.8095
GJ 3929 c,5.71,15.8095
GJ 393 b,1.71,7.03149
GJ 3942 b,7.14,16.9287
GJ 3998 b,2.47,18.1459
GJ 3998 c,6.26,18.1459
GJ 411 b,2.69,5.675773
GJ 414 A b,7.6,11.8893
GJ 414 A c,53.83,11.8893
GJ 422 b,11.07,12.6631
GJ 4276 b,16.57,21.3362
GJ 433 b,6.043,9.06456
GJ 433 c,32.422,9.06456
GJ 433 d,5.223,9.06456
GJ 436 b,22.1,9.75321
GJ 463 b,1144.18227,18.3554
GJ 480 b,13.2,14.2358
GJ 486 b,2.82,8.07426
GJ 504 b,1271.3,17.5299
GJ 514 b,5.2,7.61778
GJ 536 b,5.36,10.4092
GJ 581 b,15.8,6.2981
GJ 581 c,5.5,6.2981
GJ 581 e,1.7,6.2981
GJ 625 b,2.82,6.47249
GJ 649 b,104.244,10.3796
GJ 667 C b,5.6,7.24396
GJ 667 C c,3.8,7.24396
GJ 667 C e,2.7,7.24396
GJ 667 C f,2.7,7.24396
GJ 667 C g,4.6,7.24396
GJ 674 b,11.09,4.54896
GJ 676 A b,1837.01057,16.0272
GJ 676 A c,4271.00959,16.0272
GJ 676 A d,3.79832,16.0272
GJ 676 A e,6.69167,16.0272
GJ 680 b,7764.94529,9.67315
GJ 682 b,4.4,5.00671
GJ 682 c,8.7,5.00671
GJ 685 b,9,14.3155
GJ 687 b,17.2,4.54939
GJ 687 c,16,4.54939
GJ 720 A b,13.64,15.5575
GJ 740 b,2.96,11.1017
GJ 832 b,216,4.96435
GJ 849 b,286.04557,8.80058
GJ 849 c,223.11554,8.80058
GJ 86 b,1404.8086,10.7836
GJ 876 b,723.2235,4.67517
GJ 876 c,226.9846,4.67517
GJ 876 d,6.83,4.67517
GJ 876 e,14.6,4.67517
GJ 887 b,4.2,3.29
GJ 887 c,7.6,3.29
GJ 896 A b,718.2922,6.26022
GJ 9066 c,66.74397,4.471
GJ 96 b,19.66,11.9315
GJ 9689 b,9.65,30.6203
GJ 9714 b,3051.24439,20.5121
GJ 9827 b,4.91,29.661
GJ 9827 c,0.84,29.661
GJ 9827 d,4.04,29.661
GPX-1 b,6261.21962,655.013
GQ Lup b,6356,151.169
GSC 06214-00210 b,5000,108.5
GU Psc b,3591.3,47.5501
Gaia-1 b,533.95172,363.66
Gaia-2 b,259.66581,209.229
Gl 378 b,13.02,14.9545
Gl 49 b,5.63,9.8528
Gl 686 b,6.624,8.15728
HAT-P-1 b,166.86075,158.979
HAT-P-11 b,26.69772,37.7647
HAT-P-11 c,731.009,37.7647
HAT-P-12 b,67.059,142.751
HAT-P-13 b,270.462,246.81
HAT-P-13 c,4538.421,246.81
HAT-P-14 b,1093.3352,222.663
HAT-P-15 b,616.5902,192.516
HAT-P-16 b,1332.605,226.637
HAT-P-17 b,184.3414,92.3831
HAT-P-17 c,1080.6,92.3831
HAT-P-18 b,62.61,161.4
HAT-P-19 b,92.802,202.078
HAT-P-2 b,2765.121,127.774
HAT-P-20 b,2302.899,71.0374
HAT-P-21 b,1547.8321,277.278
HAT-P-22 b,785.0401,81.7647
HAT-P-23 b,425.8922,364.813
HAT-P-24 b,238.3725,415.344
HAT-P-25 b,180.84527,300.384
HAT-P-26 b,22.2481,141.837
HAT-P-27 b,197.05,199.173
HAT-P-28 b,198.953,401.319
HAT-P-29 b,279.6904,313.576
HAT-P-3 b,206.5895,134.554
HAT-P-30 b,263.7989,213.985
HAT-P-31 b,721.4741,344.05
HAT-P-32 b,216.1244,289.205
HAT-P-33 b,292.4036,396.11
HAT-P-34 b,1058.3739,249.325
HAT-P-35 b,335.62848,506.965
HAT-P-36 b,587.41341,294.419
HAT-P-37 b,371.528,390.594
HAT-P-38 b,84.857,255.206
HAT-P-39 b,190.372,697.004
HAT-P-4 b,213.255,320.451
HAT-P-40 b,152.5584,464.469
HAT-P-41 b,378.2177,348.185
HAT-P-42 b,331.801,405.238
HAT-P-43 b,210.395,528.825
HAT-P-44 b,111.871,347.85
HAT-P-44 c,1271.3,347.85
HAT-P-45 b,283.492,298.64
HAT-P-46 b,156.684,290.736
HAT-P-49 b,699.226,350.351
HAT-P-5 b,311.4734,303.336
HAT-P-50 b,429.0705,515.458
HAT-P-51 b,98.20947,440.089
HAT-P-52 b,259.98494,361.155
HAT-P-53 b,471.65972,666.802
HAT-P-54 b,241.5508,143.651
HAT-P-55 b,184.97706,511.388
HAT-P-56 b,734.1873,320.639
HAT-P-57 b,448.1403,279.86
HAT-P-58 b,118.23217,515.59
HAT-P-59 b,489.45575,265.471
HAT-P-6 b,419.5356,275.358
HAT-P-60 b,182.43351,233.22
HAT-P-61 b,335.94463,338.84
HAT-P-62 b,241.86742,348.815
HAT-P-63 b,195.14664,4483.05
HAT-P-64 b,184.34048,651.897
HAT-P-65 b,167.49641,738.519
HAT-P-66 b,248.86089,935.456
HAT-P-67 b,108.0622,371.686
HAT-P-68 b,230.10892,202.152
HAT-P-69 b,1137.8314,341.263
HAT-P-7 b,584.8072,341.079
HAT-P-70 b,2154.8874,330.739
HAT-P-8 b,406.8224,211.553
HAT-P-9 b,238.05467,455.203
HATS-1 b,589.55,283.971
HATS-10 b,167.17858,534.889
HATS-11 b,263.7989,944.603
