name,mass,distance
HD 192263 b,177.9848,19.6359
HD 192310 b,16.9,8.79687
HD 192310 c,24,8.79687
HD 192699 b,666.17168,71.8627
HD 194490 b,3580.0227,80.2349
HD 195019 b,1264.9634,37.6681
HD 196050 b,1010.6994,50.6742
HD 196067 b,3972.85509,39.9346
HD 19615 b,2701.54146,265.155
HD 196885 A b,819.97,34.1692
HD 197037 b,251,33.1944
HD 199509 b,42.86581,24.3056
HD 19994 b,435.41,22.5242
HD 20003 b,11.66,41.8316
HD 20003 c,14.44,41.8316
HD 200964 b,508.21017,72.5922
HD 200964 c,385.84562,72.5922
HD 202206 c,5689.157,45.9665
HD 202696 b,634.38868,188.546
HD 202696 c,592.43512,188.546
HD 202772 A b,323.23311,161.498
HD 203030 b,3496.11248,39.2503
HD 20329 b,7.42,63.6796
HD 203387 b,1110.49341,61.7477
HD 203387 c,2375.78917,61.7477
HD 203473 b,2479.074,72.6402
HD 2039 b,1999.1507,85.6922
HD 204313 b,1553.54852,47.7945
HD 204313 c,17.20043,47.7945
HD 204313 e,4841.00771,47.7945
HD 204941 b,73.1009,28.7165
HD 205158 b,123.42834,86.6159
HD 205739 b,435.41,92.5087
HD 206255 b,34.2,75.2363
HD 206610 b,647.10188,147.192
HD 206893 b,8899.1954,40.7583
HD 206893 c,4036.42077,40.7583
HD 20781 b,1.93,35.9715
HD 20781 c,5.33,35.9715
HD 20781 d,10.61,35.9715
HD 20781 e,14.03,35.9715
HD 20782 b,472.83,35.9864
HD 207832 b,177.9848,58.9291
HD 207832 c,232.0159,58.9291
HD 207897 b,14.4,28.2938
HD 20794 b,2.7,6.00278
HD 20794 c,2.4,6.00278
HD 20794 d,4.8,6.00278
HD 20794 e,4.77,6.00278
HD 208487 b,165.265,45.147
HD 208527 b,3146.4,312.202
HD 20868 b,397.2875,47.7223
HD 208897 b,444.962,67.4872
HD 209458 b,232.0159,48.3016
HD 210193 b,153.1,42.2029
HD 210277 b,410.0007,21.2985
HD 210702 b,574.63664,54.1963
HD 211403 b,1760.76937,83.0919
HD 211810 b,212.9461,64.6353
HD 211970 b,13,13.1277
HD 212301 b,162.0933,54.2304
HD 212771 b,759.6137,111.155
HD 213240 b,1773.4914,40.8707
HD 213472 b,1112.39942,64.4527
HD 213519 b,9.51349,41.0014
HD 213885 b,8.83,48.0883
HD 213885 c,19.95,48.0883
HD 21411 b,65.9,29.1328
HD 214823 b,6229.26362,101.368
HD 215152 b,1.819,21.5974
HD 215152 c,1.72,21.5974
HD 215152 d,2.801,21.5974
HD 215152 e,2.877,21.5974
HD 215497 b,6.3566,40.5468
HD 215497 c,104.3,40.5468
HD 216435 b,400.4,32.9834
HD 216437 b,706.53609,26.6902
HD 216520 b,10.26,19.552
HD 216520 c,9.44,19.552
HD 216536 b,333.7215,376.233
HD 216770 b,181.1631,36.6625
HD 21693 b,8.23,33.255
HD 21693 c,17.37,33.255
HD 217107 b,413.179,20.0619
HD 217107 c,826.32,20.0619
HD 21749 c,3.7,16.32
HD 217786 b,4402.88762,55.4847
HD 217786 c,7.35886,55.4847
HD 217850 b,6865.128,65.7969
HD 217958 b,188.02679,61.7957
HD 218566 b,63.566,28.8274
HD 219077 b,3099.7758,29.1864
HD 219134 b,4.74,6.53127
HD 219134 c,4.36,6.53127
HD 219134 d,16.17,6.53127
HD 219134 f,7.3,6.53127
HD 219134 g,10.80622,6.53127
HD 219134 h,108.0622,6.53127
HD 219139 b,247.90616,104.935
HD 219415 b,317.83,165.184
HD 219666 b,16.6,94.1719
HD 219828 b,18.94937,73.114
HD 219828 c,5406.99115,73.114
HD 220074 b,5288.6912,324.54
HD 220197 b,63.566,64.411
HD 220689 b,355.33394,46.8778
HD 220773 b,460.8,50.5103
HD 220842 b,1010.6994,64.6498
HD 221287 b,982.05,55.9231
HD 221416 b,60.5,95.5483
HD 221420 b,6363.40183,31.1415
HD 221585 b,511.7063,55.8535
HD 222076 b,495.8148,91.1538
HD 222155 b,673.7996,50.6078
HD 222582 b,2660.2371,42.1586
HD 224538 b,2234.17873,79.0608
HD 224693 b,222.481,93.5015
HD 22496 b,5.57,13.5956
HD 22532 b,673.79622,161.183
HD 22781 b,4338.2,32.6034
HD 23079 b,829.5363,33.4591
HD 23127 b,485.32641,93.8555
HD 231701 b,359.1479,108.877
HD 233604 b,2089.644,847.058
HD 233832 b,565.7374,58.742
HD 23472 b,8.32,39.0341
HD 23472 c,3.41,39.0341
HD 23472 d,0.55,39.0341
HD 23472 e,0.72,39.0341
HD 23472 f,0.77,39.0341
HD 23596 b,3674.938,52.0018
HD 238090 b,6.89,15.2354
HD 238914 b,1906.98,519.452
HD 240210 b,1655.82,372.405
HD 240237 b,5050.3187,933.377
HD 24040 b,1226.8238,46.6224
HD 24040 c,63.88351,46.6224
HD 24064 b,4096.8287,300.247
HD 24085 b,11.8,54.9004
HD 25015 b,2866.32778,37.433
HD 25171 b,290.81445,55.6146
HD 25723 b,794.57102,114.816
HD 25912 b,38.02619,49.1661
HD 25912 c,5253.17758,49.1661
HD 260655 b,2.14,10.0055
HD 260655 c,3.09,10.0055
HD 26161 b,4290.68349,40.9128
HD 2638 b,133.4886,54.9621
HD 2685 b,371.8611,196.852
HD 26965 b,8.47,5.03545
HD 27442 b,495.8,18.2704
HD 27631 b,474.83802,50.2862
HD 27894 b,196.85951,43.8214
HD 27894 c,51.48846,43.8214
HD 27894 d,2155.40718,43.8214
HD 27969 b,1525.57635,67.9328
HD 28109 b,18.496,139.611
HD 28109 c,7.943,139.611
HD 28109 d,5.681,139.611
HD 28185 b,1853.51476,39.3809
HD 28185 c,6224.47064,39.3809
HD 28192 b,98.81588,49.8063
HD 28254 b,368.67,55.2884
HD 285507 b,311.4734,45.0293
HD 285968 b,8.4,9.47045
HD 28678 b,490.09386,189.908
HD 29021 b,1420.69298,30.9939
HD 290327 b,772.3269,56.433
HD 29399 b,498.9906,44.1518
HD 2952 b,435.4271,110.103
HD 29985 b,1881.53397,31.2707
HD 30177 b,2761.28875,55.5867
HD 30177 c,2084.54271,55.5867
HD 30562 b,387.7526,26.1597
HD 30669 b,149.37,58.0844
HD 30856 b,491.68301,131.199
HD 31253 b,197.0546,58.1438
HD 31527 b,10.47,38.4473
HD 31527 c,14.16,38.4473
HD 31527 d,11.82,38.4473
HD 3167 b,4.73,47.2899
HD 3167 c,10.67,47.2899
HD 3167 d,5.03,47.2899
HD 3167 e,9.74,47.2899
HD 32518 b,966.16,122.115
HD 32963 b,222.481,38.0786
HD 330075 b,152.5584,45.2989
HD 331093 b,476.74261,50.1928
HD 33142 b,400.46379,121.375
HD 33142 c,282.86728,121.375
HD 33142 d,63.56568,121.375
HD 332231 b,77.55052,80.6665
HD 33283 b,104.56607,89.8623
HD 33564 b,2892.1,20.9531
HD 33844 b,638.8383,105.779
HD 33844 c,556.2025,105.779
HD 34445 b,260.6206,46.0907
HD 34445 c,53.5,46.0907
HD 34445 d,30.7,46.0907
HD 34445 e,16.8,46.0907
HD 34445 f,37.9,46.0907
HD 34445 g,120.6,46.0907
HD 35759 b,1195.0408,71.2423
HD 360 b,238.37131,111.542
HD 3651 b,72.46524,11.1336
HD 37124 b,214.53525,31.6634
HD 37124 c,207.22516,31.6634
HD 37124 d,221.20968,31.6634
HD 37605 b,854.9627,46.7864
HD 37605 c,1013.8777,46.7864
HD 3765 b,54.98431,17.926
HD 38283 b,127.132,38.0615
HD 38529 b,206.34463,42.3538
HD 38529 c,3320.46746,42.3538
HD 38801 b,3082.31534,91.4349
HD 39091 b,3889.98524,18.2702
HD 39194 b,4,26.4131
HD 39194 c,6.3,26.4131
HD 39194 d,4,26.4131
HD 39855 b,8.5,23.2599
HD 40307 b,4,12.9363
HD 40307 c,6.6,12.9363
HD 40307 d,9.5,12.9363
HD 40307 f,5.2,12.9363
HD 40307 g,7.1,12.9363
HD 40956 b,858.141,116.593
HD 40979 b,1484.2661,34.0883
HD 41004 A b,807.25,36.69117
HD 41004 B b,5838.29,41.5504
HD 4113 b,542.78936,41.8727
HD 42012 b,508.528,36.7984
HD 4203 b,708.7609,81.3795
HD 4203 c,689.66,81.3795
HD 4208 b,257.4423,34.1937
HD 42618 b,14.4,24.3358
HD 4308 b,15.8915,22.0158
HD 4313 b,612.45841,136.308
HD 43197 b,176.03781,62.4112
HD 43197 c,2479.19613,62.4112
HD 43691 b,810.4665,85.6009
HD 44219 b,184.33,52.9051
HD 45184 b,12.19,21.9532
HD 45184 c,8.81,21.9532
HD 45350 b,568.89,46.8733
HD 45364 b,60.16492,34.354
HD 45364 c,174.4878,34.354
HD 45652 b,137.62039,34.8541
HD 457 b,7574.93226,55.0375
HD 46375 b,71.8,29.5529
HD 47186 b,22.2481,37.4574
HD 47186 c,111.42,37.4574
HD 4732 b,753.23,54.7841
HD 4732 c,753.23,54.7841
HD 47366 b,731.009,84.3552
HD 47366 c,597.5204,84.3552
HD 47536 b,2330,122.536
HD 4760 b,4417.837,537.873
HD 48265 b,484.69075,90.5446
HD 4917 b,513.29545,204.277
HD 49674 b,31.783,43.0399
HD 50499 b,519.96988,46.2845
HD 50499 c,931.2419,46.2845
HD 50554 b,1574.464,31.1664
HD 51608 b,12.77,35.0553
HD 51608 c,14.31,35.0553
HD 52265 b,384.5743,29.9803
HD 5278 b,7.8,57.5846
HD 5278 c,18.4,57.5846
HD 5319 b,494.54348,121.405
HD 5319 c,334.67499,121.405
HD 55696 b,1230.0021,77.9693
HD 5583 b,1837.0574,219.216
HD 5608 b,534.27223,58.1105
HD 564 b,104.88,51.1659
HD 56414 b,13.3,272.217
HD 56957 b,1893.34292,61.4925
HD 5891 b,2425.0429,283.502
HD 59686 A b,2199.3836,89.2721
HD 60292 b,2065.895,315.211
HD 60532 b,336.8998,25.9716
HD 60532 c,797.7533,25.9716
HD 62364 b,5538.75835,53.112
HD 62364 c,7882.56267,53.112
HD 62509 b,731,10.34
HD 62549 b,2773.33249,49.3305
HD 63433 b,5.27,22.4035
HD 63433 c,7.61,22.4035
HD 63454 b,79.4575,37.6894
HD 63765 b,168.4499,32.5376
HD 63935 b,10.8,48.9739
HD 63935 c,11.1,48.9739
HD 64114 b,17.8,31.5262
HD 64121 b,813.64072,129.966
HD 6434 b,155.7367,42.358
HD 65216 b,411.58985,35.1205
HD 65216 c,645.1949,35.1205
HD 66141 b,1906.9,68.1509
HD 66428 b,3426.60694,53.2817
HD 66428 c,768.2868,53.2817
HD 67087 b,973,76.5217
HD 67087 c,1540,76.5217
HD 6718 b,533.9544,51.3444
HD 68402 b,975.7381,78.4293
HD 68988 b,626.1251,60.8447
HD 68988 c,4767.4261,60.8447
HD 69123 b,966.19836,75.116
HD 69830 b,10.2,12.5591
HD 69830 c,11.8,12.5591
HD 69830 d,18.1,12.5591
HD 70573 b,1900,59.182
HD 70642 b,633.43519,29.276
HD 7199 b,85.8141,36.1531
HD 72490 b,561.92344,126.339
HD 72659 b,1071.53588,51.8949
HD 72659 c,5948.05833,51.8949
HD 72892 b,1736.44828,69.7311
HD 73267 b,1325.38828,50.4093
HD 73267 c,1716.49961,50.4093
HD 73526 b,978.9164,97.2396
HD 73526 c,715.09,97.2396
HD 73534 b,353.42696,83.3321
HD 73583 b,10.2,31.5666
HD 73583 c,9.7,31.5666
HD 74156 b,531.83222,57.603
HD 74156 c,2894.47226,57.603
HD 7449 b,2652.63439,38.662
HD 75289 b,155.7367,29.1158
HD 75784 b,317.83,85.4321
HD 75784 c,1792.5612,85.4321
HD 75898 b,861.3193,78.0505
HD 76700 b,66.7443,60.8831
HD 76920 b,1249.0719,184.031
HD 77338 b,15.9,45.935
HD 79181 b,203.41018,103.335
HD 7924 b,6.3566,16.9922
HD 7924 c,7.86,16.9922
HD 7924 d,6.44,16.9922
HD 79498 b,425.8922,48.9489
HD 80606 b,1392.0954,66.4711
HD 80653 b,5.6,109.86
HD 80869 b,1797.84225,85.3951
HD 80883 b,1740.73691,34.6011
HD 80913 b,7469.38301,61.3603
HD 81040 b,2172.35017,34.4341
HD 81688 b,858.1,85.7183
HD 81817 b,8433.90298,269.126
HD 81817 c,7180.5416,269.126
HD 82886 b,740.5439,127.061
HD 82943 b,534.25,27.5902
HD 82943 c,622.603,27.5902
HD 8326 b,66.6,30.6862
HD 83443 b,127.76702,40.8991
HD 83443 c,476.74261,40.8991
HD 8535 b,216.1244,55.4401
HD 85390 b,31.46517,33.5225
HD 85512 b,3.6,11.281
HD 8574 b,645.1949,44.8264
HD 86065 b,2801.89869,40.3661
HD 86081 b,470.3884,103.936
HD 86226 b,143.0235,45.683
HD 86226 c,7.25,45.683
HD 86264 b,4073.50239,67.8107
HD 8673 b,4259.27322,37.8619
HD 86950 b,1144.188,209.839
HD 87646 b,3941.092,73.58352
HD 87883 b,1705.47518,18.2912
HD 88072 b,2565.90908,35.9098
HD 88133 b,324.1866,73.6123
HD 89307 b,670.6213,32.0104
HD 89345 b,34.9613,132.345
HD 89744 b,2653.8805,38.6364
HD 90156 b,17.98,21.9496
HD 9174 b,352.7913,81.4893
HD 92788 b,1195.0408,34.6538
HD 92788 c,1166.4361,34.6538
HD 93083 b,117.59,28.5159
HD 93351 b,3.53853,56.163
HD 93351 c,4230.46976,56.163
HD 93385 b,4.2,43.3475
HD 93385 c,7.1,43.3475
HD 93385 d,8.7,43.3475
HD 93963 A b,7.8,82.3432
HD 93963 A c,19.2,82.3432
HD 9446 b,222.472,50.3503
HD 9446 c,578.426,50.3503
HD 94834 b,400.4658,98.1609
HD 95086 b,1589,86.2279
HD 95089 b,400.4658,136.957
HD 95089 c,1096.5135,136.957
HD 95127 b,3378.5329,676.579
HD 95338 b,42.44,36.9941
HD 95544 b,2108.25626,87.8049
HD 95735 c,13.6,5.675773
HD 95872 b,1188.6842,72.2195
HD 96063 b,403.6441,140.065
HD 96127 b,6661.7168,587.659
HD 96167 b,227.88411,85.3006
HD 96700 b,8.9,25.4111
HD 96700 c,3.5,25.4111
HD 96700 d,12.7,25.4111
HD 96992 b,362.3262,396.082
HD 97037 b,6674.04272,32.413
HD 97048 b,794.575,183.857
HD 97658 b,8.3,21.5618
HD 98219 b,624.21812,113.704
HD 98649 b,2665.27978,42.1727
HD 98736 b,740.5439,32.4459
HD 99109 b,139.8452,54.7901
HD 99283 b,308.29355,111.093
HD 99492 b,22.2481,18.2038
HD 99706 b,390.9309,146.6
HD 99706 c,1808.4527,146.6
HIP 105854 b,2606.1,78.6381
HIP 107772 b,12.9,23.6434
HIP 107773 b,629.3034,105.18
HIP 109384 b,495.8148,58.9582
HIP 109600 b,851.7844,66.3361
HIP 114933 b,616.58711,101.766
HIP 116454 b,12.7132,62.4491
HIP 12961 b,114.4188,23.371
HIP 14810 b,1239.537,50.48
HIP 14810 c,416.3573,50.48
HIP 14810 d,187.5197,50.48
HIP 19976 b,20.59095,40.2707
HIP 19976 c,9501.75953,40.2707
HIP 21152 b,7627.88177,43.4073
HIP 34222 b,263.79758,22.8386
HIP 35173 b,12.7,33.1562
HIP 35965 b,2547.568,50.1677
HIP 38594 b,8.1,17.7886
HIP 38594 c,48.4,17.7886
HIP 41378 b,6.83,106.289
HIP 41378 c,7.08,106.289
HIP 41378 d,14.9,106.289
HIP 41378 e,26,106.289
HIP 41378 f,74,106.289
HIP 4845 b,14.4,21.0974
HIP 48714 b,22.9,10.5298
HIP 5158 b,451,51.6026
HIP 5158 c,4780.1632,51.6026
HIP 54373 b,8.62,18.7168
HIP 54373 c,12.44,18.7168
HIP 55507 b,2625.12713,25.4893
HIP 56640 b,2151.6473,122.324
HIP 57274 b,6.3566,25.8618
HIP 57274 c,130,25.8618
HIP 57274 d,167.4,25.8618
HIP 5763 b,162.09249,31.9043
HIP 63242 b,2917.56,156.456
HIP 65 A b,1021.18779,61.7856
HIP 65407 b,136.03124,61.7804
HIP 65407 c,249.17872,61.7804
HIP 65426 b,2860.47,108.875
HIP 65891 b,1933.66969,150.292
HIP 67522 b,72.4,127.28
HIP 67537 b,4309.24472,116.046
HIP 67851 b,497.95749,64.1181
HIP 67851 c,2430.61722,64.1181
HIP 70849 b,2860,24.0572
HIP 71135 b,18.8,32.3311
HIP 74890 b,762.792,78.6562
HIP 75056 A b,7945.71018,125.212
HIP 75092 b,568.91285,81.6696
HIP 78530 b,7300,136.759
HIP 79098 AB b,6515.515,145.798
HIP 79431 b,667.415,14.5324
HIP 8541 b,2621.63107,155.121
HIP 86221 b,225.65817,29.4898
HIP 90988 b,667.09663,94.0349
HIP 91258 b,346.4347,45.8846
HIP 94235 b,379,58.5146
HIP 948 b,6410.69721,34.8523
HIP 97166 b,20,65.9501
HIP 97166 c,9.9,65.9501
HIP 97233 b,6399.22435,102.275
HN Peg b,6991.57,18.1186
HR 2562 b,9534.9,34.0071
HR 5183 b,1026.5909,31.4607
HR 810 b,721.4741,17.3181
HR 858 b,5,31.964
HR 858 c,4.42,31.964
HR 858 d,5.32,31.964
HR 8799 b,2000,41.2441
HR 8799 c,3000,41.2441
HR 8799 d,3000,41.2441
HR 8799 e,3178.3,41.2441
HU Aqr AB b,1875.197,192.1980787
HU Aqr AB c,1430.235,192.1980787
IC 4651 9122 b,2002.329,859.324
K2-10 b,27,272.36
K2-100 b,21.8,188.959
K2-101 b,4.66,188.33
K2-102 b,2.24,188.175
K2-104 b,3.86,189.289
K2-105 b,30,197.989
K2-107 b,266.9772,685.2
K2-108 b,59.4,477.295
K2-11 b,44.4,329.309
K2-110 b,16.7,116.474
K2-111 b,5.29,200.394
K2-111 c,11.3,200.394
K2-113 b,410.0007,635.722
K2-114 b,638.8351,475.758
K2-115 b,266.9772,413.591
K2-116 b,0.257,49.3855
K2-117 b,4.78,101.632
K2-117 c,4.9,101.632
K2-118 b,6.99,321.722
K2-119 b,6.94,365.581
K2-12 b,6.04,326.381
K2-120 b,4.7,289.543874
K2-121 b,44.1,169.398
K2-122 b,1.65,72.0444
K2-123 b,8.05,161.555
K2-124 b,8.75,140.385
K2-125 b,5.39,124.156
K2-126 b,4.54,102.953
K2-127 b,52.9,709.999
K2-128 b,2.6,114.637
K2-129 b,1.12,27.7957
K2-13 b,4.23,342.394
K2-130 b,2.1,118.011
K2-131 b,6.3,152.509
K2-132 b,155.7367,609.818
K2-133 b,2.36,75.1703
K2-133 c,3.2,75.1703
K2-133 d,4.67,75.1703
K2-133 e,3.64,75.1703
K2-136 b,0.937,59.2474
K2-136 c,8.8,59.2474
K2-136 d,2.7,59.2474
K2-137 b,158.915,98.8765
K2-138 b,3.1,202.585
K2-138 c,6.31,202.585
K2-138 d,7.92,202.585
K2-138 e,12.97,202.585
K2-138 f,1.63,202.585
K2-138 g,4.32,202.585
K2-139 b,123.00021,153.856
K2-14 b,20.7,364.048
K2-140 b,295.58042,347.917
K2-141 b,5.08,61.8736
K2-141 c,7.4,61.8736
K2-146 b,5.77,79.3002
K2-146 c,7.49,79.3002
K2-147 b,0.315,90.5494
K2-148 b,2.33,124.458
K2-148 c,3.64,124.458
K2-148 d,3.33,124.458
K2-149 b,3.33,123.676
K2-15 b,6.71,493.992
K2-150 b,4.66,102.483
K2-151 b,2.83,69.4798
K2-152 b,5.86,108.449
K2-153 b,4.66,143.125
K2-154 b,4.62,129.356
K2-154 c,4.94,129.356
K2-155 b,3.89,72.7998
K2-155 c,7.27,72.7998
K2-155 d,4.27,72.7998
K2-156 b,1.37,150.21
K2-157 b,0.972,298.373
K2-158 b,7.46,197.299
K2-158 c,2.18,197.299
K2-159 b,5.73,170.998
K2-16 b,4.74,334.967
K2-16 c,6.99,334.967
K2-160 b,10.2,315.363
K2-161 b,31.1,916.319
K2-162 b,2.67,124.433
K2-163 b,6.65,208.529
K2-164 b,10.6,375.67
K2-165 b,2.17,134.591
K2-165 c,3.03,134.591
K2-165 d,7.5,134.591
K2-166 b,5.43,476.882
K2-167 b,5.75,80.8994
K2-168 b,4.12,243.935
K2-169 b,2.16,235.867
K2-17 b,5.6,125.106
K2-170 b,2.6,392.872
K2-170 c,3.9,392.872
K2-171 b,7.69,606.128
K2-172 b,3.42,249.742
K2-172 c,10.4,249.742
K2-173 b,3.22,228.641
K2-174 b,7.27,99.9293
K2-175 b,4.81,247.266
K2-176 b,2.83,247.302
K2-177 b,5.13,492.167
K2-178 b,12.4,214.753
K2-179 b,6.86,190.81
K2-18 b,8.92,38.0266
K2-18 c,7.51,38.0266
K2-180 b,11.44182,203.896
K2-181 b,8.45,360.911
K2-182 b,20,154.83
K2-183 b,1.37,329.041
K2-183 c,5.9,329.041
K2-183 d,5.9,329.041
K2-184 b,2.76,75.5857
K2-185 b,1.6,268.357
K2-185 c,6.3,268.357
K2-186 b,10.2,330.739
K2-187 b,1.87,330.916
K2-187 c,2.54,330.916
K2-187 d,6.35,330.916
K2-187 e,4.27,330.916
K2-188 b,2.39,446.821
K2-188 c,8.4,446.821
K2-189 b,2.92,242.113
K2-189 c,6.8,242.113
K2-19 b,32.4,289.827
K2-19 c,10.8,289.827
K2-19 d,10,289.827
K2-190 b,2.41,160.679
K2-190 c,1.34,160.679
K2-191 b,3.12,287.188
K2-192 b,2.92,221.753
K2-193 b,14.8,411.923
K2-194 b,12.9,629.51
K2-195 b,9.96,315.014
K2-195 c,7.16,315.014
K2-196 b,12.6,584.877
K2-197 b,7.08,247.637
K2-198 b,16.3,110.567
K2-198 c,2.61,110.567
K2-198 d,6.52,110.567
K2-199 b,6.9,107.518
K2-199 c,12.4,107.518
K2-200 b,2.43,184.131
K2-201 b,2.54,197.932
K2-201 c,10.8,197.932
K2-202 b,5.91,300.397
K2-203 b,2.45,166.147
K2-204 b,9.51,577.235
K2-205 b,4.64,405.301
K2-206 b,8.22,244.443
K2-207 b,7.3,363.064
K2-208 b,3.46,256.887
K2-209 b,0.586,76.4986
K2-21 b,4.04,83.6448
K2-21 c,6.76,83.6448
K2-210 b,0.566,176.51
K2-211 b,2.24,272.297
K2-212 b,7.51,109.218
K2-213 b,2.9,389.702
K2-214 b,6.48,300.64
K2-215 b,5.16,403.964
K2-216 b,8,115.461
K2-217 b,12.5,381.878
K2-218 b,7.13,394.083
K2-219 b,2.38,325.4
K2-219 c,2.66,325.4
K2-219 d,7.16,325.4
K2-22 b,444.962,243.836
K2-220 b,6.3,233.514
K2-221 b,3.46,318.81
K2-222 b,6.3,101.321
K2-223 b,0.64,198.604
K2-223 c,2.86,198.604
K2-224 b,3.05,275.255
K2-224 c,6.39,275.255
K2-225 b,12,357.778
K2-226 b,2.99,211.265
K2-227 b,3.41,187.234
K2-228 b,1.92,129.46
K2-229 b,2.49,102.564
K2-229 c,21.3,102.564
K2-230 b,4.5,540.773
K2-231 b,6.8,321.215
K2-232 b,126.49634,130.72
K2-233 b,11.26,67.5062
K2-233 c,12.81,67.5062
K2-233 d,21.14,67.5062
K2-237 b,433.20012,314.995
K2-238 b,273.3338,537.963
K2-239 b,1.37,31.0849
K2-239 c,0.972,31.0849
K2-239 d,1.37,31.0849
K2-24 b,19,170.562
K2-24 c,15.4,170.562
K2-240 b,4.66,72.9105
K2-240 c,3.89,72.9105
K2-241 b,7.04,149.464
K2-242 b,6.99,109.237
K2-243 b,5.35,266.864
K2-243 c,4.7,266.864
K2-244 b,3.71,212.902
K2-245 b,17.4,456.064
K2-246 b,12,703.616
K2-247 b,5.14,258.113
K2-247 c,5.43,258.113
K2-248 b,7.13,406.254
K2-249 b,8.2,521.716
K2-25 b,24.5,44.9565
K2-250 b,6.53,414.708
K2-251 b,6.12,147.03
K2-252 b,3.68,228.839
K2-254 b,3.29,227.775
K2-254 c,5.43,227.775
K2-255 b,8.75,191.608
K2-256 b,7.41,564.693
K2-257 b,0.498,64.0065
K2-258 b,9.27,661.873
K2-259 b,5.99,416.457
K2-26 b,7.61,99.0504
K2-260 b,451.3186,663.834
K2-261 b,59.75174,213.283
K2-263 b,14.8,162.481
K2-264 b,5.61,185.605
K2-264 c,7.6,185.605
K2-265 b,6.54,138.671
K2-266 b,11.26782,77.5586
K2-266 c,0.29013,77.5586
K2-266 d,8.9,77.5586
K2-266 e,14.3,77.5586
K2-268 b,2.86,327.783
K2-268 c,7.7,327.783
K2-268 d,2.83,327.783
K2-268 e,2.33,327.783
K2-268 f,5.6,327.783
K2-269 b,3.09,360.76
K2-27 b,30.9,249.645
K2-270 b,2.48,280.518
K2-270 c,9.01,280.518
K2-271 b,41.8,564.454
K2-272 b,9.96,423.065
K2-273 b,9.53,308.105
K2-274 b,4.98,228.327
K2-275 b,6.08,123.438
K2-275 c,5.52,123.438
K2-276 b,13.7,488.152
K2-277 b,4.94,113.123
K2-278 b,9.17,786.439
K2-279 b,1.92,182.983
K2-28 b,5.99,62.9969
K2-280 b,37.1,391.537
K2-281 b,50.9,458.139
K2-282 b,6.8,496.289
K2-283 b,12.2,402.915
K2-284 b,8.15,107.272
K2-285 b,9.68,154.961
K2-285 c,15.68,154.961
K2-285 d,6.5,154.961
K2-285 e,10.7,154.961
K2-286 b,5.06,76.1486
K2-287 b,100.11645,158.335
K2-288 B b,4.27,65.6138
K2-289 b,61,274.3
K2-29 b,232.0159,178.475
K2-290 b,10.9,272.909
K2-290 c,246.00042,272.909
K2-291 b,6.49,90.0562
K2-292 b,24.5,114.293
K2-293 b,6.57,392.251
K2-294 b,3.39,373.078
K2-295 b,106.47305,232.801
K2-3 b,6.48,44.0727
K2-3 c,2.14,44.0727
K2-3 d,2.80007,44.0727
K2-30 b,184.02357,333.042
K2-308 b,70.6,1314.53
K2-31 b,563.83042,110.527
K2-315 b,0.809,56.9686
K2-316 b,2.33,112.486
K2-316 c,4.01,112.486
K2-317 b,8.91,176.291
K2-318 b,3.39,147.866
K2-319 b,8.2,209.071
K2-32 b,15,157.682
K2-32 c,8.1,157.682
K2-32 d,6.7,157.682
K2-32 e,2.1,157.682
K2-320 b,7.37,108.74
K2-321 b,4.46,77.6888
K2-322 b,4.35,123.415
K2-323 b,5.06,118.318
K2-324 b,6.48,136.667
K2-325 b,5.48,111.638
K2-326 b,5.82,282.308
K2-329 b,82.6358,233.237
K2-33 b,1175.971,139.268
K2-330 b,8.1,160.125
K2-331 b,3.86,211.43
K2-331 c,7.85,211.43
K2-332 b,5.48,123.202
K2-333 b,31.6,343.99
K2-334 b,27.2,371.823
K2-335 b,5.52,557.993
K2-336 b,1.98,239.289
K2-337 b,7.37,421.636
K2-338 b,1.08,156.951
K2-339 b,4.35,360.36
K2-34 b,539.67534,348.646
K2-340 b,11.2,738.136
K2-341 b,10.4,421.408
K2-342 b,4.78,208.357
K2-343 b,3.36,166.169
K2-343 c,4.74,166.169
K2-344 b,3.15,75.1691
K2-345 b,5.1,162.408
K2-346 b,5.73,105.58
K2-347 b,6.39,320.336
K2-348 b,10.7,201.856
K2-348 c,7.61,201.856
K2-349 b,2.48,453.567
K2-35 b,2.3,252.596
K2-35 c,4.38,252.596
K2-350 b,2.99,489.368
K2-350 c,7.95,489.368
K2-351 b,6.99,694.734
K2-352 b,2.45,176.051
K2-352 c,4.35,176.051
K2-352 d,5.6,176.051
K2-353 b,26.3,268.515
K2-354 b,3.05,91.722
K2-355 b,5.69,500.497
K2-356 b,5.86,355.54
K2-357 b,13.4,517.687
K2-358 b,7.65,480.307
K2-36 b,3.9,109.749
K2-36 c,7.8,109.749
K2-365 b,8.78,187.222
K2-366 b,6.16,185.947
K2-367 b,6.41,176.965
K2-368 b,2.34,206.608
K2-368 c,2.42,206.608
K2-368 d,4.45,206.608
K2-369 b,2.28,185.55
K2-37 b,3.22,179.943
K2-37 c,8,179.943
K2-37 d,7.9,179.943
K2-370 b,10.4,144.202
K2-372 b,8.98,463.88
K2-373 b,4.9,229.567
K2-374 b,3.16,359.439
K2-374 c,5.53,359.439
K2-375 b,5.66,696.1
K2-376 b,3.66,161.61
K2-377 b,3.51,195.149
K2-378 b,8.65,687.973
